,count,mean,min,25%,50%,75%,max,std,missing_rate
时间,8737,2023-07-02 00:00:00,2023-01-01 00:00:00,2023-04-02 00:00:00,2023-07-02 00:00:00,2023-10-01 00:00:00,2023-12-31 00:00:00,,0.0
1#主机运行时长,8737.0,177576.3974476365,165757.0,170691.0,174640.0,180978.0,195721.0,8791.350437966406,0.0
1#排气温度,8737.0,21.513505780016025,19.5,21.0,21.0,22.0,23.5,1.28814981103267,0.0
1#螺杆机有功功率D1016,8737.0,0.4836534279500973,0.020000000000000018,0.38,0.62,0.62,0.98,0.2772104350404378,0.0
1#螺杆机有功电度D1018,8737.0,404215.77045210026,383018.06,393873.62,398999.56,409490.62,432718.44,13802.454156424008,0.0
2#主机运行时长,8737.0,180608.0187707451,164750.0,171223.0,176551.5,185152.0,205157.0,11876.76547800039,0.0
2#排气温度,8737.0,37.647533478310635,19.0,30.0,33.0,47.0,72.5,12.302093249631389,0.0
2#螺杆机有功功率D1020,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2#螺杆机有功电度D1022,8737.0,375526.3751012934,347600.31,360967.12,370274.19,382277.94,412683.88,18121.654503204667,0.0
冷凝出水温度,8737.0,22.9670939681813,16.5,21.0,22.0,24.0,28.5,3.095128097363021,0.0
冷凝回水温度,8737.0,21.513505780016025,19.5,21.0,21.0,22.0,23.5,1.28814981103267,0.0
制冷控制温度,8737.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0
启动停止命令,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
地源出水压力,8737.0,0.22139063751859908,0.11000000000000001,0.2,0.23,0.26,0.35,0.051211908199701554,0.0
地源出水温度,8737.0,20.945770859562778,18.749999999999996,20.4,21.0,21.5,23.150000000000002,1.2638056858155151,0.0
地源水净累积流量,8737.0,750866.5600000003,750866.56,750866.56,750866.56,750866.56,750866.56,1.1223079315547811e-07,0.0
地源水净累积热量,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
地源水正累积热量,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
地源水温度1供水温度,8737.0,11.949999999999998,11.95,11.95,11.95,11.95,11.95,1.8333051774346034e-12,0.0
地源水温度2供水温度,8737.0,7.420000000000001,7.42,7.42,7.42,7.42,7.42,1.287044187065281e-12,0.0
地源水瞬时流量,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
地源水瞬时热流量,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
地源水负累积热量,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
地源进水压力,8737.0,0.2147602151768342,0.15500000000000003,0.2,0.21,0.23,0.275,0.03443058301892633,0.0
地源进水温度,8737.0,20.426914272633628,17.55,19.8,20.5,21.3,23.55,1.6558960109232717,0.0
总有功功率D1012,8737.0,6.420521918278586,0.0,0.7,0.7,16.5,40.2,11.037341066914504,0.0
"总有功电度178404,178783.84",8737.0,1032205.0241925147,970089.62,1001157.5,1017217.75,1047881.75,1116084.75,40470.147225267596,0.0
机组运行模式0制冷1制热,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
环境温度,8737.0,32.159705848689484,8.700000000000003,25.200000000000003,29.8,36.2,52.7,12.904166290892912,0.0
环境湿度,8737.0,49.28524665216893,3.8,34.85,47.5,60.4,98.4,20.89789692121112,0.0
空调出水压力,8737.0,0.23861050703902945,0.07999999999999999,0.2,0.245,0.28,0.4,0.053640457798656435,0.0
空调出水温度,8737.0,18.714759070619206,13.95,17.7,18.3,20.2,23.95,2.8824101096211074,0.0
空调水净累积流量,8737.0,644087.0761531417,613829.25,626906.44,637371.155,652457.12,687047.31,20834.217643311054,0.0
空调水净累积热量,8737.0,2311221.5545953987,2214778.0,2257604.75,2288567.25,2338415.0,2451766.25,68352.39664173746,0.0
空调水正累积热量,8737.0,1428392.502208424,1426990.8000000003,1428021.12,1428350.875,1428708.0,1429738.3199999998,627.238082163475,0.0
空调水温度1供水温度,8737.0,18.60703216206936,13.569999999999999,17.5,18.29,20.12,24.050000000000004,3.013821698986706,0.0
空调水温度2供水温度,8737.0,18.415788600206017,13.025,17.18,18.045,19.95,24.104999999999997,3.0248535589259014,0.0
空调水瞬时流量,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
空调水瞬时热流量,8737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
空调水负累积热量,8737.0,-883666.1773766739,-1021885.38,-909575.94,-860216.5,-829583.75,-820224.06,66853.46593950925,0.0
空调进水压力,8737.0,0.21451871351722562,0.15500000000000003,0.2,0.21,0.23,0.275,0.03296988995405904,0.0
空调进水温度,8737.0,18.550085841822135,13.499999999999996,17.4,18.2,20.0,23.900000000000002,2.8807226736027154,0.0
蒸发出水温度,8737.0,14.010072107130593,10.0,13.0,14.0,15.0,18.0,2.084938401515752,0.0
蒸发回水温度,8737.0,14.627446491930868,11.0,14.0,14.0,16.0,19.0,2.1027394245048505,0.0
