时间,1#主机运行时长,1#排气温度,1#螺杆机有功功率D1016,1#螺杆机有功电度D1018,2#主机运行时长,2#排气温度,2#螺杆机有功功率D1020,2#螺杆机有功电度D1022,冷凝出水温度,冷凝回水温度,制冷控制温度,启动停止命令,地源出水压力,地源出水温度,地源水净累积流量,地源水净累积热量,地源水正累积热量,地源水温度1供水温度,地源水温度2供水温度,地源水瞬时流量,地源水瞬时热流量,地源水负累积热量,地源进水压力,地源进水温度,总有功功率D1012,"总有功电度178404,178783.84",机组运行模式0制冷1制热,环境温度,环境湿度,空调出水压力,空调出水温度,空调水净累积流量,空调水净累积热量,空调水正累积热量,空调水温度1供水温度,空调水温度2供水温度,空调水瞬时流量,空调水瞬时热流量,空调水负累积热量,空调进水压力,空调进水温度,蒸发出水温度,蒸发回水温度,月份,日期,小时,工作日,季节,时段,COP,能效比,制热模式,制冷模式,总运行时长,1#螺杆机有功运行状态,1#螺杆机有功启停状态变化,1#螺杆机有功累计启停次数,2#螺杆机有功运行状态,2#螺杆机有功启停状态变化,2#螺杆机有功累计启停次数,小时平均能耗,工作日能耗,能源利用效率,碳排放量,节能率
2023-01-01 00:00:00,174834.5,22.0,0.62,399002.0,176816.0,31.0,0.0,370751.88,22.0,22.0,13.0,0.0,0.21,21.05,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.21,21.0,0.7,1017220.62,0.0,27.25,56.900000000000006,0.21,18.95,637842.28,2290079.0,1428363.315,18.73,18.605,0.0,0.0,-861715.75,0.21,18.799999999999997,14.0,15.0,1,1,0,False,1,1,0.0,0.0,False,True,351650.5,False,,,False,,,0.7,0.5314285714285714,0.0,0.35,-100.0
2023-01-01 01:00:00,174724.5,22.0,0.62,399002.56,176659.0,31.0,0.0,370274.19,22.0,22.0,13.0,0.0,0.22,21.1,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.22,21.1,0.7,1017221.38,0.0,26.8,57.8,0.22,19.2,637598.06,2289194.625,1428359.75,18.945,18.72,0.0,0.0,-860834.905,0.22,18.95,14.0,15.0,1,1,1,False,1,1,0.0,0.0,False,True,351383.5,False,0,0.0,False,0,0.0,0.7,0.5230769230769231,0.0,0.35,-100.0
2023-01-01 02:00:00,174168.0,22.0,0.62,398879.56,175918.0,31.0,0.0,369146.22,22.0,22.0,13.0,0.0,0.22,21.1,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.22,21.2,0.7,1016849.375,0.0,26.1,58.3,0.22,19.5,636285.31,2284869.5,1428327.25,19.22,18.94,0.0,0.0,-856542.25,0.22,19.2,15.0,15.0,1,1,2,False,1,1,0.0,-0.0,False,True,350086.0,False,0,0.0,False,0,0.0,0.7,0.5230769230769231,0.0,0.35,-100.0
2023-01-01 03:00:00,175391.0,22.0,0.62,400684.19,177557.0,30.0,0.0,370751.88,22.0,22.0,13.0,0.0,0.21,21.1,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.21,21.3,0.7,1022236.12,0.0,25.8,62.349999999999994,0.215,19.7,639155.03,2294404.125,1428395.815,19.505000000000003,19.255000000000003,0.0,0.0,-866008.405,0.215,19.3,15.0,15.0,1,1,3,False,1,1,0.0,0.0,False,True,352948.0,False,0,0.0,False,0,0.0,0.7,0.5163461538461538,0.0,0.35,-100.0
2023-01-01 04:00:00,175281.0,22.0,0.62,399721.125,177400.0,30.0,0.0,370513.03500000003,22.0,22.0,13.0,0.0,0.22,21.2,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.22,21.3,0.7,1019357.565,0.0,25.3,64.6,0.22,19.7,638910.81,2293519.75,1428392.25,19.69,19.23,0.0,0.0,-865127.56,0.22,19.4,15.0,16.0,1,1,4,False,1,1,0.0,-0.0,False,True,352681.0,False,0,0.0,False,0,0.0,0.7,0.5163461538461538,0.0,0.35,-100.0
2023-01-01 05:00:00,174640.0,22.0,0.62,398758.06,176551.5,30.0,0.0,370274.19,22.0,22.0,13.0,0.0,0.21,21.2,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.22,21.3,0.7,1016478.88,0.0,25.200000000000003,64.55000000000001,0.21,19.85,637371.155,2288567.25,1428350.875,19.770000000000003,19.259999999999998,0.0,0.0,-860216.5,0.21,19.45,15.0,16.0,1,1,5,False,1,1,0.0,-0.0,False,True,351191.5,False,0,0.0,False,0,0.0,0.7,0.5163461538461538,0.0,0.35,-100.0
2023-01-01 06:00:00,174640.0,22.0,0.62,398758.69,176551.5,30.0,0.0,370274.19,22.0,22.0,13.0,0.0,0.21,21.3,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.215,21.45,0.7,1016479.62,0.0,27.1,57.8,0.21,20.0,637371.155,2288567.25,1428350.875,19.89,19.375,0.0,0.0,-860216.5,0.215,19.5,16.0,16.0,1,1,6,False,1,2,0.0,0.0,False,True,351191.5,False,0,0.0,False,0,0.0,0.7,0.5163461538461538,0.0,0.35,-100.0
2023-01-01 07:00:00,175281.0,21.0,0.58,400686.69,177400.0,33.0,0.0,370274.19,23.0,21.0,13.0,0.0,0.23,21.3,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.21,19.9,0.7,1019359.815,0.0,30.6,49.1,0.27,18.9,638910.81,2293519.75,1428392.25,18.73,18.31,0.0,0.0,-865127.56,0.21,18.6,14.0,15.0,1,1,7,False,1,2,0.0,0.0,False,True,352681.0,False,0,0.0,False,0,0.0,0.7,7.452884615384615,0.0,0.35,-100.0
2023-01-01 08:00:00,174678.0,21.0,0.58,399779.81,176599.0,40.0,0.0,369061.97,21.0,21.0,13.0,0.0,0.235,20.7,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.21,20.0,0.7,1016613.0,0.0,29.4,45.2,0.27,18.8,637424.405,2288863.5,1428355.685,18.665,18.25,0.0,0.0,-860508.0,0.21,18.4,13.0,14.0,1,1,8,False,1,2,0.0,-0.0,False,True,351277.0,False,0,0.0,False,0,0.0,0.7,5.891346153846154,0.0,0.35,-100.0
2023-01-01 09:00:00,174691.5,21.0,0.62,399797.5,176618.0,50.0,0.0,369089.875,23.5,21.0,13.0,0.0,0.24,20.9,750866.56,0.0,0.0,11.95,7.42,0.0,0.0,0.0,0.21,20.05,17.4,1019578.56,0.0,31.35,42.5,0.28,18.05,637474.19,2288971.5,1428356.065,18.125,17.75,0.0,0.0,-860615.5,0.21,17.85,12.0,13.0,1,1,9,False,1,2,0.0,0.0,False,True,351309.5,False,0,0.0,False,0,0.0,17.4,13.964423076923076,0.0,8.7,-100.0
